[INFO] [1788546603.327555055] [robot_state_publisher]: Robot initialized
[WARN] [1788546612.286955085] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.323107889] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.330618855] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.370366223] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.395277788] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.403074883] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.412704137] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.432676197] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.439509068] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.441324058] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.442984212] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.444134816] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.449561787] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.487378454] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.495970064] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.498054976] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.549991308] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.579049363] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.579734791] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.607590783] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.634861722] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.652117943] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.720856781] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.739169646] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.749127196] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
